id,country,province,city,lat,long
1,Afghanistan,,,33.93911,67.709953
2,Albania,,,41.1533,20.1683
3,Algeria,,,28.0339,1.6596
4,Andorra,,,42.5063,1.5218
5,Angola,,,-11.2027,17.8739
6,Antarctica,,,-71.9499,23.347
7,Antigua and Barbuda,,,17.0608,-61.7964
8,Argentina,,,-38.4161,-63.6167
9,Armenia,,,40.0691,45.0382
10,Australia,Australian Capital Territory,,-35.4735,149.0124
11,Australia,New South Wales,,-33.8688,151.2093
12,Australia,Northern Territory,,-12.4634,130.8456
13,Australia,Queensland,,-27.4698,153.0251
14,Australia,South Australia,,-34.9285,138.6007
15,Australia,Tasmania,,-42.8821,147.3272
16,Australia,Victoria,,-37.8136,144.9631
17,Australia,Western Australia,,-31.9505,115.8605
18,Austria,,,47.5162,14.5501
19,Azerbaijan,,,40.1431,47.5769
20,Bahamas,,,25.025885,-78.035889
21,Bahrain,,,26.0275,50.55
22,Bangladesh,,,23.685,90.3563
23,Barbados,,,13.1939,-59.5432
24,Belarus,,,53.7098,27.9534
25,Belgium,,,50.8333,4.469936
26,Belize,,,17.1899,-88.4976
27,Benin,,,9.3077,2.3158
28,Bhutan,,,27.5142,90.4336
29,Bolivia,,,-16.2902,-63.5887
30,Bosnia and Herzegovina,,,43.9159,17.6791
31,Botswana,,,-22.3285,24.6849
32,Brazil,,,-14.235,-51.9253
33,Brunei,,,4.5353,114.7277
34,Bulgaria,,,42.7339,25.4858
35,Burkina Faso,,,12.2383,-1.5616
36,Burma,,,21.9162,95.956
37,Burundi,,,-3.3731,29.9189
38,Cabo Verde,,,16.5388,-23.0418
39,Cambodia,,,11.55,104.9167
40,Cameroon,,,3.848,11.5021
41,Canada,Alberta,,53.9333,-116.5765
42,Canada,British Columbia,,53.7267,-127.6476
43,Canada,Diamond Princess,,0.0,0.0
44,Canada,Grand Princess,,0.0,0.0
45,Canada,Manitoba,,53.7609,-98.8139
46,Canada,New Brunswick,,46.5653,-66.4619
47,Canada,Newfoundland and Labrador,,53.1355,-57.6604
48,Canada,Northwest Territories,,64.8255,-124.8457
49,Canada,Nova Scotia,,44.682,-63.7443
50,Canada,Nunavut,,70.2998,-83.1076
51,Canada,Ontario,,51.2538,-85.3232
52,Canada,Prince Edward Island,,46.5107,-63.4168
53,Canada,Quebec,,52.9399,-73.5491
54,Canada,Repatriated Travellers,,0,0
55,Canada,Saskatchewan,,52.9399,-106.4509
56,Canada,Yukon,,64.2823,-135.0
57,Central African Republic,,,6.6111,20.9394
58,Chad,,,15.4542,18.7322
59,Chile,,,-35.6751,-71.543
60,China,Anhui,,31.8257,117.2264
61,China,Beijing,,40.1824,116.4142
62,China,Chongqing,,30.0572,107.874
63,China,Fujian,,26.0789,117.9874
64,China,Gansu,,35.7518,104.2861
65,China,Guangdong,,23.3417,113.4244
66,China,Guangxi,,23.8298,108.7881
67,China,Guizhou,,26.8154,106.8748
68,China,Hainan,,19.1959,109.7453
69,China,Hebei,,39.549,116.1306
70,China,Heilongjiang,,47.862,127.7615
71,China,Henan,,37.8957,114.9042
72,China,Hong Kong,,22.3,114.2
73,China,Hubei,,30.9756,112.2707
74,China,Hunan,,27.6104,111.7088
75,China,Inner Mongolia,,44.0935,113.9448
76,China,Jiangsu,,32.9711,119.455
77,China,Jiangxi,,27.614,115.7221
78,China,Jilin,,43.6661,126.1923
79,China,Liaoning,,41.2956,122.6085
80,China,Macau,,22.1667,113.55
81,China,Ningxia,,37.2692,106.1655
82,China,Qinghai,,35.7452,95.9956
83,China,Shaanxi,,35.1917,108.8701
84,China,Shandong,,36.3427,118.1498
85,China,Shanghai,,31.202,121.4491
86,China,Shanxi,,37.5777,112.2922
87,China,Sichuan,,30.6171,102.7103
88,China,Tianjin,,39.3054,117.323
89,China,Tibet,,31.6927,88.0924
90,China,Unknown,,0,0
91,China,Xinjiang,,41.1129,85.2401
92,China,Yunnan,,24.974,101.487
93,China,Zhejiang,,29.1832,120.0934
94,Colombia,,,4.5709,-74.2973
95,Comoros,,,-11.6455,43.3333
96,Congo (Brazzaville),,,-0.228,15.8277
97,Congo (Kinshasa),,,-4.0383,21.7587
98,Costa Rica,,,9.7489,-83.7534
99,Cote d'Ivoire,,,7.54,-5.5471
100,Croatia,,,45.1,15.2
101,Cuba,,,21.521757,-77.781167
102,Cyprus,,,35.1264,33.4299
103,Czechia,,,49.8175,15.473
104,Denmark,Faroe Islands,,61.8926,-6.9118
105,Denmark,Greenland,,71.7069,-42.6043
106,Denmark,,,56.2639,9.5018
107,Diamond Princess,,,0.0,0.0
108,Djibouti,,,11.8251,42.5903
109,Dominica,,,15.415,-61.371
110,Dominican Republic,,,18.7357,-70.1627
111,Ecuador,,,-1.8312,-78.1834
112,Egypt,,,26.820553,30.802498
113,El Salvador,,,13.7942,-88.8965
114,Equatorial Guinea,,,1.6508,10.2679
115,Eritrea,,,15.1794,39.7823
116,Estonia,,,58.5953,25.0136
117,Eswatini,,,-26.5225,31.4659
118,Ethiopia,,,9.145,40.4897
119,Fiji,,,-17.7134,178.065
120,Finland,,,61.92411,25.748151
121,France,French Guiana,,3.9339,-53.1258
122,France,French Polynesia,,-17.6797,149.4068
123,France,Guadeloupe,,16.265,-61.551
124,France,Martinique,,14.6415,-61.0242
125,France,Mayotte,,-12.8275,45.166244
126,France,New Caledonia,,-20.904305,165.618042
127,France,Reunion,,-21.1151,55.5364
128,France,Saint Barthelemy,,17.9,-62.8333
129,France,Saint Pierre and Miquelon,,46.8852,-56.3159
130,France,St Martin,,18.0708,-63.0501
131,France,Wallis and Futuna,,-14.2938,-178.1165
132,France,,,46.2276,2.2137
133,Gabon,,,-0.8037,11.6094
134,Gambia,,,13.4432,-15.3101
135,Georgia,,,42.3154,43.3569
136,Germany,,,51.165691,10.451526
137,Ghana,,,7.9465,-1.0232
138,Greece,,,39.0742,21.8243
139,Grenada,,,12.1165,-61.679
140,Guatemala,,,15.7835,-90.2308
141,Guinea,,,9.9456,-9.6966
142,Guinea-Bissau,,,11.8037,-15.1804
143,Guyana,,,4.860416,-58.93018
144,Haiti,,,18.9712,-72.2852
145,Holy See,,,41.9029,12.4534
146,Honduras,,,15.2,-86.2419
147,Hungary,,,47.1625,19.5033
148,Iceland,,,64.9631,-19.0208
149,India,,,20.593684,78.96288
150,Indonesia,,,-0.7893,113.9213
151,Iran,,,32.427908,53.688046
152,Iraq,,,33.223191,43.679291
153,Ireland,,,53.1424,-7.6921
154,Israel,,,31.046051,34.851612
155,Italy,,,41.87194,12.56738
156,Jamaica,,,18.1096,-77.2975
157,Japan,,,36.204824,138.252924
158,Jordan,,,31.24,36.51
159,Kazakhstan,,,48.0196,66.9237
160,Kenya,,,-0.0236,37.9062
161,Kiribati,,,-3.3704,-168.734
162,"Korea, North",,,40.3399,127.5101
163,"Korea, South",,,35.907757,127.766922
164,Kosovo,,,42.602636,20.902977
165,Kuwait,,,29.31166,47.481766
166,Kyrgyzstan,,,41.20438,74.766098
167,Laos,,,19.85627,102.495496
168,Latvia,,,56.8796,24.6032
169,Lebanon,,,33.8547,35.8623
170,Lesotho,,,-29.61,28.2336
171,Liberia,,,6.428055,-9.429499
172,Libya,,,26.3351,17.228331
173,Liechtenstein,,,47.14,9.55
174,Lithuania,,,55.1694,23.8813
175,Luxembourg,,,49.8153,6.1296
176,MS Zaandam,,,0.0,0.0
177,Madagascar,,,-18.766947,46.869107
178,Malawi,,,-13.2543,34.3015
179,Malaysia,,,4.210484,101.975766
180,Maldives,,,3.2028,73.2207
181,Mali,,,17.570692,-3.996166
182,Malta,,,35.9375,14.3754
183,Marshall Islands,,,7.1315,171.1845
184,Mauritania,,,21.0079,-10.9408
185,Mauritius,,,-20.348404,57.552152
186,Mexico,,,23.6345,-102.5528
187,Micronesia,,,7.4256,150.5508
188,Moldova,,,47.4116,28.3699
189,Monaco,,,43.7333,7.4167
190,Mongolia,,,46.8625,103.8467
191,Montenegro,,,42.708678,19.37439
192,Morocco,,,31.7917,-7.0926
193,Mozambique,,,-18.665695,35.529562
194,Namibia,,,-22.9576,18.4904
195,Nauru,,,-0.5228,166.9315
196,Nepal,,,28.1667,84.25
197,Netherlands,Aruba,,12.5211,-69.9683
198,Netherlands,"Bonaire, Sint Eustatius and Saba",,12.1784,-68.2385
199,Netherlands,Curacao,,12.1696,-68.99
200,Netherlands,Sint Maarten,,18.0425,-63.0548
201,Netherlands,,,52.1326,5.2913
202,New Zealand,Cook Islands,,-21.2367,-159.7777
203,New Zealand,Niue,,-19.0544,-169.8672
204,New Zealand,,,-40.9006,174.886
205,Nicaragua,,,12.865416,-85.207229
206,Niger,,,17.607789,8.081666
207,Nigeria,,,9.082,8.6753
208,North Macedonia,,,41.6086,21.7453
209,Norway,,,60.472,8.4689
210,Oman,,,21.512583,55.923255
211,Pakistan,,,30.3753,69.3451
212,Palau,,,7.515,134.5825
213,Panama,,,8.538,-80.7821
214,Papua New Guinea,,,-6.314993,143.95555
215,Paraguay,,,-23.4425,-58.4438
216,Peru,,,-9.19,-75.0152
217,Philippines,,,12.879721,121.774017
218,Poland,,,51.9194,19.1451
219,Portugal,,,39.3999,-8.2245
220,Qatar,,,25.3548,51.1839
221,Romania,,,45.9432,24.9668
222,Russia,,,61.52401,105.318756
223,Rwanda,,,-1.9403,29.8739
224,Saint Kitts and Nevis,,,17.357822,-62.782998
225,Saint Lucia,,,13.9094,-60.9789
226,Saint Vincent and the Grenadines,,,12.9843,-61.2872
227,Samoa,,,-13.759,-172.1046
228,San Marino,,,43.9424,12.4578
229,Sao Tome and Principe,,,0.1864,6.6131
230,Saudi Arabia,,,23.885942,45.079162
231,Senegal,,,14.4974,-14.4524
232,Serbia,,,44.0165,21.0059
233,Seychelles,,,-4.6796,55.492
234,Sierra Leone,,,8.460555,-11.779889
235,Singapore,,,1.2833,103.8333
236,Slovakia,,,48.669,19.699
237,Slovenia,,,46.1512,14.9955
238,Solomon Islands,,,-9.6457,160.1562
239,Somalia,,,5.152149,46.199616
240,South Africa,,,-30.5595,22.9375
241,South Sudan,,,6.877,31.307
242,Spain,,,40.463667,-3.74922
243,Sri Lanka,,,7.873054,80.771797
244,Sudan,,,12.8628,30.2176
245,Summer Olympics 2020,,,35.6491,139.7737
246,Suriname,,,3.9193,-56.0278
247,Sweden,,,60.128161,18.643501
248,Switzerland,,,46.8182,8.2275
249,Syria,,,34.802075,38.996815
250,Taiwan*,,,23.7,121.0
251,Tajikistan,,,38.861,71.2761
252,Tanzania,,,-6.369028,34.888822
253,Thailand,,,15.870032,100.992541
254,Timor-Leste,,,-8.874217,125.727539
255,Togo,,,8.6195,0.8248
256,Tonga,,,-21.179,-175.1982
257,Trinidad and Tobago,,,10.6918,-61.2225
258,Tunisia,,,33.886917,9.537499
259,Turkey,,,38.9637,35.2433
260,Tuvalu,,,-7.1095,177.6493
261,US,,,40.0,-100.0
262,Uganda,,,1.373333,32.290275
263,Ukraine,,,48.3794,31.1656
264,United Arab Emirates,,,23.424076,53.847818
265,United Kingdom,Anguilla,,18.2206,-63.0686
266,United Kingdom,Bermuda,,32.3078,-64.7505
267,United Kingdom,British Virgin Islands,,18.4207,-64.64
268,United Kingdom,Cayman Islands,,19.3133,-81.2546
269,United Kingdom,Channel Islands,,49.3723,-2.3644
270,United Kingdom,Falkland Islands (Malvinas),,-51.7963,-59.5236
271,United Kingdom,Gibraltar,,36.1408,-5.3536
272,United Kingdom,Guernsey,,49.448196,-2.58949
273,United Kingdom,Isle of Man,,54.2361,-4.5481
274,United Kingdom,Jersey,,49.2138,-2.1358
275,United Kingdom,Montserrat,,16.742498,-62.187366
276,United Kingdom,Pitcairn Islands,,-24.3768,-128.3242
277,United Kingdom,"Saint Helena, Ascension and Tristan da Cunha",,-7.9467,-14.3559
278,United Kingdom,Turks and Caicos Islands,,21.694,-71.7979
279,United Kingdom,,,55.3781,-3.436
280,Uruguay,,,-32.5228,-55.7658
281,Uzbekistan,,,41.377491,64.585262
282,Vanuatu,,,-15.3767,166.9592
283,Venezuela,,,6.4238,-66.5897
284,Vietnam,,,14.058324,108.277199
285,West Bank and Gaza,,,31.9522,35.2332
286,Winter Olympics 2022,,,39.9042,116.4074
287,Yemen,,,15.552727,48.516388
288,Zambia,,,-13.133897,27.849332
289,Zimbabwe,,,-19.015438,29.154857
